ID,Tract Name,#HCP,#BLSA,#VU,#ALL
0,Arcuate fascicle left,1061,963,303,2327
1,Arcuate fascicle right,1061,963,303,2327
2,Anterior Thalamic Radiation left,1061,963,303,2327
3,Anterior Thalamic Radiation right,1061,963,303,2327
4,Commissure Anterior,1061,961,296,2318
5,Rostrum,1061,962,303,2326
6,Genu,1061,963,303,2327
7,Rostral body (Premotor),1061,963,303,2327
8,Anterior midbody (Primary Motor),1061,963,303,2327
9,Posterior midbody (Primary Somatosensory),1061,963,303,2327
10,Isthmus,1061,963,303,2327
11,Splenium,1061,963,303,2327
12,Corpus Callosum - all,1061,963,303,2327
13,Cingulum left,1061,963,303,2327
14,Cingulum right,1061,963,303,2327
15,Corticospinal tract left,1061,963,303,2327
16,Corticospinal tract right,1061,963,303,2327
17,Fronto-pontine tract left,1061,963,303,2327
18,Fronto-pontine tract right,1061,963,303,2327
19,Fornix left,1061,918,301,2280
20,Fornix right,1061,901,296,2258
21,Inferior cerebellar peduncle left,1061,963,294,2318
22,Inferior cerebellar peduncle right,1061,963,292,2316
23,Inferior occipito-frontal fascicle left,1061,963,303,2327
24,Inferior occipito-frontal fascicle right,1061,963,303,2327
25,Inferior longitudinal fascicle left,1061,963,303,2327
26,Inferior longitudinal fascicle right,1061,963,303,2327
27,Middle cerebellar peduncle,1061,963,298,2322
28,Middle longitudinal fascicle left,1061,963,303,2327
29,Middle longitudinal fascicle right,1061,963,303,2327
30,Optic radiation left,1061,963,303,2327
31,Optic radiation right,1061,963,303,2327
32,Parieto-occipital pontine left,1061,963,303,2327
33,Parieto-occipital pontine right,1061,963,303,2327
34,Superior cerebellar peduncle left,1061,963,303,2327
35,Superior cerebellar peduncle right,1061,962,302,2325
36,Superior longitudinal fascicle III left,1061,963,303,2327
37,Superior longitudinal fascicle III right,1061,963,303,2327
38,Superior longitudinal fascicle II left,1061,963,303,2327
39,Superior longitudinal fascicle II right,1061,963,303,2327
40,Superior longitudinal fascicle I left,1061,963,303,2327
41,Superior longitudinal fascicle I right,1061,963,303,2327
42,Striato-fronto-orbital left,1061,963,303,2327
43,Striato-fronto-orbital right,1061,962,303,2326
44,Striato-occipital left,1061,963,303,2327
45,Striato-occipital right,1061,963,303,2327
46,Striato-parietal left,1061,963,303,2327
47,Striato-parietal right,1061,963,303,2327
48,Striato-postcentral left,1061,963,303,2327
49,Striato-postcentral right,1061,963,303,2327
50,Striato-precentral left,1061,963,303,2327
51,Striato-precentral right,1061,963,303,2327
52,Striato-prefrontal left,1061,963,303,2327
53,Striato-prefrontal right,1061,963,303,2327
54,Striato-premotor left,1061,963,303,2327
55,Striato-premotor right,1061,963,302,2326
56,Superior Thalamic Radiation left,1061,962,300,2323
57,Superior Thalamic Radiation right,1061,962,301,2324
58,Thalamo-occipital left,1061,963,303,2327
59,Thalamo-occipital right,1061,963,303,2327
60,Thalamo-parietal left,1061,963,303,2327
61,Thalamo-parietal right,1061,963,303,2327
62,Thalamo-postcentral left,1061,963,303,2327
63,Thalamo-postcentral right,1061,963,302,2326
64,Thalamo-precentral left,1061,963,303,2327
65,Thalamo-precentral right,1061,963,303,2327
66,Thalamo-prefrontal left,1061,963,303,2327
67,Thalamo-prefrontal right,1061,963,303,2327
68,Thalamo-premotor left,1061,962,303,2326
69,Thalamo-premotor right,1061,962,303,2326
70,Uncinate fascicle left,1061,962,301,2324
71,Uncinate fascicle right,1061,963,302,2326
