ID,Tract Name,#HCP,#BLSA,#VU,#ALL
0,Corpus Callosum Forceps Major,994,864,284,2142
1,Corpus Callosum Forceps Minor,994,864,284,2142
2,Anterior Thalamic Radiation left,994,864,284,2142
3,Cingulum - Angular Bundle left,994,864,284,2142
4,Cingulum - Cingulate Gyrus left,994,864,284,2142
5,Corticospinal Tract left,994,865,284,2143
6,Inferior Longitudinal Fasciculus left,994,865,284,2143
7,Superior Longitudinal Fasciculus - Parietal left,994,864,284,2142
8,Superior Longitudinal Fasciculus - Temporal left,994,864,284,2142
9,Uncinate Fasciculus left,994,864,284,2142
10,Anterior Thalamic Radiation right,994,864,284,2142
11,Cingulum - Angular Bundle right,994,864,284,2142
12,Cingulum - Cingulate Gyrus right,994,864,284,2142
13,Corticospinal Tract right,994,865,284,2143
14,Inferior Longitudinal Fasciculus right,994,865,284,2143
15,Superior Longitudinal Fasciculus - Parietal right,994,864,284,2142
16,Superior Longitudinal Fasciculus - Temporal right,994,864,284,2142
17,Uncinate Fasciculus right,994,864,284,2142
