ID,Tract Name,#HCP,#BLSA,#NORMAL,#ALL
0,Corpus Callosum Forceps Major,986,853,281,2120
1,Corpus Callosum Forceps Minor,986,853,281,2120
2,Anterior Thalamic Radiation left,986,853,281,2120
3,Cingulum - Angular Bundle left,986,853,281,2120
4,Cingulum - Cingulate Gyrus left,986,853,281,2120
5,Corticospinal Tract left,986,854,281,2121
6,Inferior Longitudinal Fasciculus left,986,854,281,2121
7,Superior Longitudinal Fasciculus - Parietal left,986,853,281,2120
8,Superior Longitudinal Fasciculus - Temporal left,986,853,281,2120
9,Uncinate Fasciculus left,986,853,281,2120
10,Anterior Thalamic Radiation right,986,853,281,2120
11,Cingulum - Angular Bundle right,986,853,281,2120
12,Cingulum - Cingulate Gyrus right,986,853,281,2120
13,Corticospinal Tract right,986,854,281,2121
14,Inferior Longitudinal Fasciculus right,986,854,281,2121
15,Superior Longitudinal Fasciculus - Parietal right,986,853,281,2120
16,Superior Longitudinal Fasciculus - Temporal right,986,853,281,2120
17,Uncinate Fasciculus right,986,853,281,2120
