ID,Tract Name,#HCP,#BLSA,#NORMAL,#ALL
0,Anterior Commissure,1047,932,287,2266
1,Arcuate Fascile left,1047,939,287,2273
2,Arcuate Fascile right,1047,939,287,2273
3,Acoustic Radiation left,1047,815,273,2135
4,Acoustic Radiation right,1047,884,269,2200
5,Anterior Thalamic Radiation left,1047,939,287,2273
6,Anterior Thalamic Radiation right,1047,939,287,2273
7,Cingulum Bundle Dorsal left,1047,939,260,2246
8,Cingulum Bundle Dorsal right,1047,939,256,2242
9,Cingulum Bundle Parahippocampal left,1047,834,199,2080
10,Cingulum Bundle Parahippocampal right,1047,813,206,2066
11,Cingulum Bundle Temporal left,1047,939,279,2265
12,Cingulum Bundle Temporal right,1047,939,281,2267
13,Corticospinal Tract left,1047,936,273,2256
14,Corticospinal Tract right,1047,937,273,2257
15,Frontal Aslant left,1047,939,287,2273
16,Frontal Aslant right,1047,939,287,2273
17,Forceps Major,1047,939,286,2272
18,Forceps Minor,1047,939,287,2273
19,Fornix left,1044,881,233,2158
20,Fornix right,1046,884,211,2141
21,Inferior Fronto-occipital Fasciculus left,1047,939,286,2272
22,Inferior Fronto-occipital Fasciculus right,1047,939,286,2272
23,Inferior Longitudinal Fasciculus left,1047,938,286,2271
24,Inferior Longitudinal Fasciculus right,1047,939,287,2273
25,Middle Cerebellar Peduncle,1047,932,273,2252
26,Medio-Dorsal Longitudinal Fasciculus left,1047,938,287,2272
27,Medio-Dorsal Longitudinal Fasciculus right,1047,939,287,2273
28,Optic Radiation left,1047,939,287,2273
29,Optic Radiation right,1047,939,287,2273
30,Superior Longitudinal Fasciculus 1 left,1047,936,285,2268
31,Superior Longitudinal Fasciculus 1 right,1047,934,286,2267
32,Superior Longitudinal Fasciculus 2 left,1047,936,276,2259
33,Superior Longitudinal Fasciculus 2 right,1047,933,274,2254
34,Superior Longitudinal Fasciculus 3 left,1047,938,283,2268
35,Superior Longitudinal Fasciculus 3 right,1047,939,283,2269
36,Superior Thalamic Radiation left,1047,939,287,2273
37,Superior Thalamic Radiation right,1047,939,287,2273
38,Uncinate Fasciculus left,1047,938,287,2272
39,Uncinate Fasciculus right,1047,939,287,2273
40,Vertical Occipital Fasciculus left,1047,939,287,2273
41,Vertical Occipital Fasciculus right,1047,939,287,2273
