ID,Bundle Name,File Name,#HCP,#BLSA,#VU,#ALL
0,Anterior Commissure,ac,1044,921,287,2252
1,Arcuate Fascile left,af_l,1044,928,287,2259
2,Arcuate Fascile right,af_r,1044,928,287,2259
3,Acoustic Radiation left,ar_l,1044,804,273,2121
4,Acoustic Radiation right,ar_r,1044,873,269,2186
5,Anterior Thalamic Radiation left,atr_l,1044,928,287,2259
6,Anterior Thalamic Radiation right,atr_r,1044,928,287,2259
7,Cingulum Bundle Dorsal left,cbd_l,1044,928,260,2232
8,Cingulum Bundle Dorsal right,cbd_r,1044,928,256,2228
9,Cingulum Bundle Parahippocampal left,cbp_l,1044,827,199,2070
10,Cingulum Bundle Parahippocampal right,cbp_r,1044,804,205,2053
11,Cingulum Bundle Temporal left,cbt_l,1044,928,279,2251
12,Cingulum Bundle Temporal right,cbt_r,1044,928,281,2253
13,Corticospinal Tract left,cst_l,1044,925,273,2242
14,Corticospinal Tract right,cst_r,1044,926,273,2243
15,Frontal Aslant left,fa_l,1044,928,287,2259
16,Frontal Aslant right,fa_r,1044,928,287,2259
17,Forceps Major,fma,1044,928,286,2258
18,Forceps Minor,fm,1044,928,287,2259
19,Fornix left,fx_l,1041,870,233,2144
20,Fornix right,fx_r,1043,873,211,2127
21,Inferior Fronto-occipital Fasciculus left,fo_l,1044,928,286,2258
22,Inferior Fronto-occipital Fasciculus right,fo_r,1044,928,286,2258
23,Inferior Longitudinal Fasciculus left,lf_l,1044,927,286,2257
24,Inferior Longitudinal Fasciculus right,lf_r,1044,928,287,2259
25,Middle Cerebellar Peduncle,mcp,1044,921,273,2238
26,Medio-Dorsal Longitudinal Fasciculus left,mdlf_l,1044,927,287,2258
27,Medio-Dorsal Longitudinal Fasciculus right,mdlf_r,1044,928,287,2259
28,Optic Radiation left,or_l,1044,928,287,2259
29,Optic Radiation right,or_r,1044,928,287,2259
30,Superior Longitudinal Fasciculus 1 left,slf1_l,1044,925,285,2254
31,Superior Longitudinal Fasciculus 1 right,slf1_r,1044,923,286,2253
32,Superior Longitudinal Fasciculus 2 left,slf2_l,1044,925,276,2245
33,Superior Longitudinal Fasciculus 2 right,slf2_r,1044,922,274,2240
34,Superior Longitudinal Fasciculus 3 left,slf3_l,1044,927,283,2254
35,Superior Longitudinal Fasciculus 3 right,slf3_r,1044,928,283,2255
36,Superior Thalamic Radiation left,str_l,1044,928,287,2259
37,Superior Thalamic Radiation right,str_r,1044,928,287,2259
38,Uncinate Fasciculus left,uf_l,1044,927,287,2258
39,Uncinate Fasciculus right,uf_r,1044,928,287,2259
40,Vertical Occipital Fasciculus left,vof_l,1044,928,287,2259
41,Vertical Occipital Fasciculus right,vof_r,1044,928,287,2259
